Stadt;Fläche km2;Einwohner;PLZ;Längengrad;Breitengrad;Bundesland
Bühren;14;521;37127;9,677991;51,484852;Niedersachsen
Dransfeld;28.91;4398;37127;9,76266;51,5023;Niedersachsen
Jühnde;24.54;973;37127;9,801204;51,463704;Niedersachsen
Niemetal;28.53;1482;37127;9,729226;51,519666;Niedersachsen
Scheden;26.73;1890;37127;9,726961;51,458993;Niedersachsen
Bilshausen;8.49;2220;37434;10,158692;51,630495;Niedersachsen
Bodensee;7.47;798;37434;10,1319;51,604298;Niedersachsen
Gieboldehausen;19.85;3965;37434;10,214772;51,610816;Niedersachsen
Krebeck;12.26;1034;37434;10,122558;51,587922;Niedersachsen
Obernfeld;10.72;940;37434;10,232938;51,555773;Niedersachsen
Rhumspringe;9.36;1763;37434;10,295711;51,582395;Niedersachsen
Rollshausen;11.67;840;37434;10,216588;51,569563;Niedersachsen
Rüdershausen;9.44;809;37434;10,26824;51,581182;Niedersachsen
Wollbrandshausen;6.26;647;37434;10,161618;51,586754;Niedersachsen
Wollershausen;9.15;512;37434;10,256335;51,596047;Niedersachsen
Elbingerode;5.65;433;37412;10,275669;51,659428;Niedersachsen
Hattorf am Harz;29.19;3982;37197;10,235606;51,651267;Niedersachsen
Hörden am Harz;7.82;927;37412;10,287111;51,668706;Niedersachsen
Wulften am Harz;14.82;1801;37199;10,176939;51,662753;Niedersachsen
Ebergötzen;19.72;1926;37136;10,101579;51,570616;Niedersachsen
Landolfshausen;16.22;1066;37136;10,104399;51,539947;Niedersachsen
Seeburg;13.44;1572;37136;10,149291;51,565172;Niedersachsen
Seulingen;11.1;1329;37136;10,160868;51,543758;Niedersachsen
Waake;7.9;1253;37136;10,056425;51,555296;Niedersachsen
Hannover;204.3;535932;30159;9,738084;52,374551;Niedersachsen
Barsinghausen;102.81;34327;30890;9,465004;52,301868;Niedersachsen
Burgdorf;112.56;31083;31303;10,008766;52,446741;Niedersachsen
Burgwedel;152.85;20123;30938;9,856492;52,49202;Niedersachsen
Garbsen;79.5;60711;30823;9,58689;52,416278;Niedersachsen
Gehrden;43.27;15177;30989;9,59892;52,315068;Niedersachsen
Hemmingen;31.73;18845;30966;9,747743;52,32069;Niedersachsen
Isernhagen;59.85;24280;30916;9,846975;52,434232;Niedersachsen
Laatzen;34.16;41965;30880;9,788174;52,314795;Niedersachsen
Langenhagen;71.97;54712;30853;9,734278;52,438469;Niedersachsen
Lehrte;127.67;44369;31275;9,976958;52,372615;Niedersachsen
Neustadt am Rübenberge;358.96;44796;31535;9,457529;52,504751;Niedersachsen
Pattensen;67.13;14525;30982;9,761472;52,26395;Niedersachsen
Ronnenberg;37.82;24239;30952;9,653235;52,319008;Niedersachsen
Seelze;54.08;34271;30926;9,589384;52,396951;Niedersachsen
Sehnde;103.58;23769;31319;9,967173;52,310452;Niedersachsen
Springe;160.13;28948;31832;9,554961;52,208899;Niedersachsen
Uetze;140.85;20333;31311;10,202538;52,463947;Niedersachsen
Wedemark;174.27;29612;30900;9,733449;52,545682;Niedersachsen
Wennigsen (Deister);53.92;14043;30974;9,574146;52,274405;Niedersachsen
Wunstorf;125.74;41481;31515;9,424195;52,425436;Niedersachsen
Bassum;168.85;16289;27211;8,725552;52,847957;Niedersachsen
Diepholz;104.7;17192;49356;8,370605;52,606393;Niedersachsen
Stuhr;81.84;33494;28816;8,750247;53,028414;Niedersachsen
Sulingen;110.83;13005;27232;8,801224;52,682116;Niedersachsen
Syke;128.11;24365;28857;8,816336;52,914548;Niedersachsen
Twistringen;114.38;12527;27239;8,63877;52,799962;Niedersachsen
Wagenfeld;117.57;7304;49419;8,590374;52,546265;Niedersachsen
Weyhe;60.36;31162;28844;8,840023;52,981355;Niedersachsen
Brockum;30.62;1043;49448;8,41884;52,46665;Niedersachsen
Hüde;24.41;1219;49448;8,356987;52,49539;Niedersachsen
Lembruch;22.67;1175;49459;8,366446;52,526785;Niedersachsen
Lemförde;6.95;3359;49448;8,377161;52,467768;Niedersachsen
Marl;9.84;695;49448;8,364876;52,484483;Niedersachsen
Quernheim;6.24;490;49448;8,391985;52,461704;Niedersachsen
Stemshorn;8.84;695;49448;8,362587;52,45209;Niedersachsen
Barnstorf;52.37;6611;49406;8,505122;52,70951;Niedersachsen
Drebber;47.13;3042;49457;8,425941;52,6497;Niedersachsen
Drentwede;30.41;1010;49406;8,573205;52,743443;Niedersachsen
Eydelstedt;76.23;1819;49406;8,548216;52,691527;Niedersachsen
Asendorf;58.24;2944;27330;9,006295;52,769261;Niedersachsen
Martfeld;35.06;2817;27327;9,067936;52,875786;Niedersachsen
Schwarme;24.31;2645;27327;9,018694;52,899657;Niedersachsen
Bruchhausen-Vilsen;109.73;9109;27305;8,986762;52,822285;Niedersachsen
Bahrenborstel;31.28;1093;27245;8,815121;52,57221;Niedersachsen
Barenburg;16.45;1235;27245;8,798729;52,621324;Niedersachsen
Freistatt;12.54;450;27259;8,648938;52,623062;Niedersachsen
Kirchdorf;47.8;2278;27245;8,836015;52,594752;Niedersachsen
Varrel;43.99;1537;27259;8,730968;52,621233;Niedersachsen
Wehrbleck;28.03;757;27259;8,692263;52,628854;Niedersachsen
Barver;26.04;1080;49453;8,593598;52,620672;Niedersachsen
Dickel;16.98;462;49453;8,472542;52,644554;Niedersachsen
Hemsloh;26.82;543;49453;8,509428;52,601629;Niedersachsen
Rehden;33.35;2352;49453;8,482683;52,609902;Niedersachsen
Wetschen;25.11;1898;49453;8,448796;52,612875;Niedersachsen
Affinghausen;12.26;864;27257;8,87991;52,782963;Niedersachsen
Ehrenburg;49.17;1476;27248;8,704319;52,747949;Niedersachsen
Neuenkirchen;14.67;1169;27251;8,748262;52,774432;Niedersachsen
Scholen;20.47;770;27251;8,769239;52,740308;Niedersachsen
Schwaförden;26;1488;27252;8,818783;52,737783;Niedersachsen
Sudwalde;27.24;981;27257;8,842769;52,796913;Niedersachsen
Borstel;31.08;1176;27246;8,971999;52,669312;Niedersachsen
Maasen;18.72;430;27249;8,885683;52,692321;Niedersachsen
Mellinghausen;24.44;1036;27249;8,897384;52,707433;Niedersachsen
Siedenburg;14.23;1228;27254;8,940684;52,692898;Niedersachsen
Staffhorst;14.66;525;27254;8,980126;52,721512;Niedersachsen
Aerzen;105.26;10472;31855;9,261633;52,046638;Niedersachsen
Bad Münder am Deister;107.97;17447;31848;9,463755;52,197773;Niedersachsen
Bad Pyrmont;61.99;19285;31812;9,262908;51,985504;Niedersachsen
Coppenbrügge;90.07;7023;31863;9,550116;52,117614;Niedersachsen
Emmerthal;114.94;9811;31860;9,376592;52,049405;Niedersachsen
Hameln;102.53;57394;31785;9,356316;52,104402;Niedersachsen
Hessisch Oldendorf;120.32;18228;31840;9,252506;52,168347;Niedersachsen
Salzhemmendorf;94.45;9303;31020;9,589601;52,066226;Niedersachsen
Alfeld (Leine);72.88;18550;31061;9,825738;51,987221;Niedersachsen
Algermissen;35.71;7989;31191;9,970613;52,253687;Niedersachsen
Bad Salzdetfurth;67.2;13266;31162;10,007627;52,063403;Niedersachsen
Bockenem;109.96;9666;31167;10,128926;52,009625;Niedersachsen
Diekholzen;30.22;6325;31199;9,918044;52,09459;Niedersachsen
Elze;47.81;8973;31008;9,735897;52,121655;Niedersachsen
Giesen;34;9700;31180;9,892277;52,195149;Niedersachsen
Harsum;50;11496;31177;9,964458;52,21046;Niedersachsen
Hildesheim;92.29;100319;31134;9,948181;52,150623;Niedersachsen
Holle;61.25;7075;31188;10,16074;52,087422;Niedersachsen
Nordstemmen;60.22;12090;31171;9,782956;52,160076;Niedersachsen
Sarstedt;43;19423;31157;9,855848;52,234449;Niedersachsen
Schellerten;80.41;7972;31174;10,10173;52,187719;Niedersachsen
Söhlde;57.45;7845;31185;10,232297;52,189449;Niedersachsen
Freden (Leine);53.49;4621;31084;9,89314;51,928153;Niedersachsen
Lamspringe;70.5;5559;31195;10,008627;51,957723;Niedersachsen
Sibbesse;71.96;5766;31079;9,902564;52,054729;Niedersachsen
Eime;21.97;2559;31036;9,724253;52,077171;Niedersachsen
Duingen;59.64;4889;31089;9,699208;52,005816;Niedersachsen
Gronau (Leine);88.39;10690;31028;9,774244;52,084178;Niedersachsen
Delligsen;36.21;7681;31073;9,798914;51,942963;Niedersachsen
Holzminden;88.24;19745;37603;9,447159;51,828764;Niedersachsen
Bevern;33.32;3780;37639;9,494465;51,857475;Niedersachsen
Golmbach;15.95;887;37640;9,545419;51,900375;Niedersachsen
Holenberg;7.38;407;37642;9,584829;51,909735;Niedersachsen
Negenborn;9.92;667;37643;9,567476;51,890628;Niedersachsen
Boffzen;8.08;2632;37691;9,394051;51,750619;Niedersachsen
Derental;9.23;576;37691;9,429724;51,694959;Niedersachsen
Fürstenberg;3.29;1031;37699;9,399382;51,731487;Niedersachsen
Lauenförde;17.2;2343;37697;9,386537;51,660524;Niedersachsen
Bodenwerder;29.05;5548;37619;9,515591;51,977346;Niedersachsen
Brevörde;13.63;575;37647;9,427301;51,912233;Niedersachsen
Halle;28.85;1483;37620;9,563019;51,991248;Niedersachsen
Hehlen;21.68;1832;37619;9,470187;51,984688;Niedersachsen
Heinsen;18.62;749;37649;9,434358;51,883855;Niedersachsen
Heyen;8.35;451;37619;9,504859;52,008111;Niedersachsen
Kirchbrak;18.47;962;37619;9,57338;51,965529;Niedersachsen
Ottenstein;32.92;1157;31868;9,408921;51,946485;Niedersachsen
Pegestorf;8.34;387;37619;9,49702;51,926812;Niedersachsen
Polle;21.24;1144;37647;9,406883;51,898705;Niedersachsen
Vahlbruch;14.23;404;37647;9,341323;51,921521;Niedersachsen
Arholzen;5.36;394;37627;9,569322;51,866505;Niedersachsen
Deensen;11.05;1346;37627;9,590468;51,862702;Niedersachsen
Dielmissen;7.52;771;37633;9,607235;51,971155;Niedersachsen
Eimen;16.36;827;37632;9,778045;51,875883;Niedersachsen
Eschershausen;23.92;3488;37632;9,633947;51,929678;Niedersachsen
Heinade;9.09;854;37627;9,632864;51,839233;Niedersachsen
Holzen;6.61;511;37632;9,666365;51,933805;Niedersachsen
Lenne;5.68;652;37627;9,682356;51,891069;Niedersachsen
Lüerdissen;6.94;392;37635;9,626461;51,951455;Niedersachsen
Stadtoldendorf;24.92;5613;37627;9,622765;51,882484;Niedersachsen
Wangelnstedt;15.19;573;37627;9,687795;51,87064;Niedersachsen
Nienburg (Weser);64.53;31570;31582;9,211648;52,640859;Niedersachsen
Rehburg-Loccum;99.97;10107;31547;9,225712;52,470153;Niedersachsen
Steyerberg;102;5218;31595;9,026193;52,56739;Niedersachsen
Drakenburg;11.72;1828;31623;9,210548;52,68737;Niedersachsen
Haßbergen;18.03;1595;31626;9,230031;52,73085;Niedersachsen
Heemsen;39.61;1705;31622;9,262984;52,704419;Niedersachsen
Rohrsen;5.13;1082;31627;9,232437;52,709796;Niedersachsen
Linsburg;23.57;984;31636;9,303647;52,593547;Niedersachsen
Rodewald;60.29;2571;31637;9,482895;52,662673;Niedersachsen
Steimbke;63.28;2428;31634;9,390322;52,655474;Niedersachsen
Stöckse;38.57;1231;31638;9,341552;52,641122;Niedersachsen
Diepenau;70.05;3950;31603;8,732764;52,421591;Niedersachsen
Raddestorf;41.84;1802;31604;8,961702;52,455222;Niedersachsen
Uchte;90.69;4977;31600;8,907246;52,499408;Niedersachsen
Warmsen;81.71;3229;31606;8,848914;52,456444;Niedersachsen
Bücken;32.5;2130;27333;9,134546;52,780054;Niedersachsen
Eystrup;24.12;3452;27324;9,212755;52,779255;Niedersachsen
Gandesbergen;7.02;522;27324;9,223013;52,760767;Niedersachsen
Hämelhausen;9.09;578;27324;9,277964;52,780784;Niedersachsen
Hassel (Weser);17.67;1722;27324;9,205763;52,802471;Niedersachsen
Hilgermissen;54.41;2142;27318;9,149399;52,844913;Niedersachsen
Hoya;8.45;3905;27318;9,135517;52,805855;Niedersachsen
Hoyerhagen;22.67;984;27318;9,08566;52,829149;Niedersachsen
Schweringen;19.53;773;27324;9,181245;52,747532;Niedersachsen
Warpe;20.09;700;27333;9,104535;52,740808;Niedersachsen
Estorf;19.85;1701;31629;9,141689;52,588451;Niedersachsen
Husum;40.01;2387;31632;9,252157;52,565208;Niedersachsen
Landesbergen;42.03;2722;31628;9,119921;52,55829;Niedersachsen
Leese;29.76;1653;31633;9,11604;52,505729;Niedersachsen
Stolzenau;64.91;7537;31592;9,07761;52,510921;Niedersachsen
Balge;32.12;1720;31609;9,184785;52,718245;Niedersachsen
Binnen;24.78;1002;31619;9,135239;52,618382;Niedersachsen
Liebenau;23.08;3880;31618;9,095856;52,603837;Niedersachsen
Marklohe;32.93;4653;31608;9,156531;52,668633;Niedersachsen
Pennigsehl;24.22;1238;31621;9,026812;52,642381;Niedersachsen
Wietzen;40.58;2095;31613;9,084499;52,713048;Niedersachsen
Auetal;62.15;6345;31749;9,232853;52,234338;Niedersachsen
Bückeburg;68.9;19336;31675;9,050444;52,260372;Niedersachsen
Obernkirchen;32.45;9288;31683;9,130876;52,270718;Niedersachsen
Rinteln;109.02;25380;31737;9,079841;52,186989;Niedersachsen
Stadthagen;60.27;22210;31655;9,205815;52,323705;Niedersachsen
Ahnsen;3.43;987;31708;9,101227;52,254661;Niedersachsen
Bad Eilsen;2.46;2569;31707;9,105939;52,2407;Niedersachsen
Buchholz;1.77;742;31710;9,118945;52,225073;Niedersachsen
Heeßen;1.9;1419;31707;9,105587;52,23215;Niedersachsen
Luhden;4.35;1112;31711;9,092095;52,226019;Niedersachsen
Beckedorf;9.83;1454;31699;9,313716;52,342837;Niedersachsen
Heuerßen;3.98;901;31700;9,277037;52,329615;Niedersachsen
Lindhorst;7.88;4378;31698;9,284344;52,358059;Niedersachsen
Lüdersfeld;12.72;1039;31702;9,252911;52,358924;Niedersachsen
Bad Nenndorf;23.22;11189;31542;9,374996;52,339433;Niedersachsen
Haste;11.17;2721;31559;9,39349;52,381033;Niedersachsen
Hohnhorst;11.96;2078;31559;9,371285;52,368567;Niedersachsen
Suthfeld;5.06;1491;31555;9,388337;52,364383;Niedersachsen
Lauenhagen;9.71;1305;31714;9,208019;52,356164;Niedersachsen
Meerbeck;13.09;1911;31715;9,14462;52,342306;Niedersachsen
Niedernwöhren;11.06;2016;31712;9,147705;52,352046;Niedersachsen
Nordsehl;5.97;694;31717;9,18224;52,357575;Niedersachsen
Pollhagen;12.87;1066;31718;9,18941;52,383784;Niedersachsen
Wiedensahl;11.68;931;31719;9,1198;52,383095;Niedersachsen
Helpsen;7.77;1964;31691;9,115865;52,311691;Niedersachsen
Hespe;6.49;2062;31693;9,112804;52,331976;Niedersachsen
Nienstädt;8.31;4472;31688;9,165807;52,292917;Niedersachsen
Seggebruch;7.49;1683;31691;9,095062;52,301545;Niedersachsen
Apelern;24.57;2422;31552;9,336445;52,289576;Niedersachsen
Hülsede;15.87;1046;31867;9,36141;52,25013;Niedersachsen
Lauenau;16.25;4357;31867;9,368136;52,274093;Niedersachsen
Messenkamp;6.82;727;31867;9,380084;52,260048;Niedersachsen
Pohle;7.21;878;31867;9,341642;52,265412;Niedersachsen
Rodenberg;15.61;6502;31552;9,352175;52,311819;Niedersachsen
Auhagen;12.35;1259;31553;9,294945;52,398326;Niedersachsen
Hagenburg;16.23;4570;31558;9,323187;52,433351;Niedersachsen
Sachsenhagen;15.47;1983;31553;9,264827;52,39579;Niedersachsen
Wölpinghausen;18.33;1621;31556;9,237707;52,41911;Niedersachsen
Bergen;164.4;13371;29303;9,962303;52,809523;Niedersachsen
Celle;176.02;69279;29221;10,08067;52,626307;Niedersachsen
Faßberg;102.31;6292;29328;10,162006;52,895917;Niedersachsen
Hambühren;56.81;10683;29313;9,983254;52,635569;Niedersachsen
Wietze;63.26;8642;29323;9,840504;52,654604;Niedersachsen
Winsen (Aller);155.85;13348;29308;9,90864;52,679316;Niedersachsen
Eschede;196.77;5752;29348;10,235106;52,733783;Niedersachsen
Südheide;196.5;11486;29320;10,089991;52,83142;Niedersachsen
Bröckel;16.33;1901;29356;10,216108;52,518414;Niedersachsen
Eicklingen;22.89;3353;29358;10,180086;52,550535;Niedersachsen
Langlingen;33.58;2161;29364;10,289155;52,555379;Niedersachsen
Wienhausen;40.55;4101;29342;10,186005;52,57957;Niedersachsen
Ahnsbeck;20.7;1637;29353;10,2848;52,611286;Niedersachsen
Beedenbostel;12.58;984;29355;10,257174;52,644316;Niedersachsen
Eldingen;57.04;2026;29351;10,340327;52,686123;Niedersachsen
Hohne;36.65;1695;29362;10,371589;52,588534;Niedersachsen
Lachendorf;38.43;6524;29331;10,245238;52,62209;Niedersachsen
Adelheidsdorf;33.26;2810;29352;10,059931;52,565363;Niedersachsen
Nienhagen;17.6;6807;29336;10,104402;52,556183;Niedersachsen
Wathlingen;17.81;6306;29339;10,157425;52,539115;Niedersachsen
Lohheide;91.48;757;29303;9,930034;52,811551;Niedersachsen
Cuxhaven;161.92;48318;27472;8,69747;53,864463;Niedersachsen
Loxstedt;141.74;16441;27612;8,64907;53,470254;Niedersachsen
Schiffdorf;113.57;14665;27619;8,652806;53,531085;Niedersachsen
Beverstedt;198.05;13608;27616;8,819169;53,434238;Niedersachsen
Hagen im Bremischen;197.42;11110;27628;8,644053;53,355946;Niedersachsen
Wurster Nordseeküste;181.73;17164;27639;8,5677;53,688724;Niedersachsen
Geestland;356.56;31304;27607;8,594252;53,608072;Niedersachsen
Armstorf;39.73;682;21769;9,073937;53,597506;Niedersachsen
Hollnseth;20.82;870;21769;9,103115;53,589311;Niedersachsen
Lamstedt;52.87;3371;21769;9,096351;53,636316;Niedersachsen
Mittelstenahe;33.75;615;21770;9,037981;53,651268;Niedersachsen
Stinstedt;30.43;557;21772;8,973002;53,660207;Niedersachsen
Hechthausen;30.73;3457;21755;9,237924;53,641149;Niedersachsen
Hemmoor;45.07;8843;21745;9,153373;53,692362;Niedersachsen
Osten;47.99;1751;21756;9,188167;53,694162;Niedersachsen
Belum;25.72;783;21785;8,994205;53,816223;Niedersachsen
Bülkau;23.21;835;21782;8,979034;53,747225;Niedersachsen
Ihlienworth;40.28;1515;21775;8,916402;53,74069;Niedersachsen
Neuenkirchen;19.64;1302;21763;8,893851;53,777163;Niedersachsen
Neuhaus (Oste);9.85;1096;21785;9,036629;53,802219;Niedersachsen
Nordleda;21.29;1038;21765;8,834004;53,763622;Niedersachsen
Oberndorf;32.71;1378;21787;9,145492;53,751967;Niedersachsen
Odisheim;13.52;475;21775;8,940683;53,694134;Niedersachsen
Osterbruch;10.21;477;21762;8,941582;53,778337;Niedersachsen
Otterndorf;33.55;7443;21762;8,899714;53,807823;Niedersachsen
Steinau;36.05;792;21775;8,886576;53,683196;Niedersachsen
Wanna;53.93;2220;21776;8,810678;53,741317;Niedersachsen
Wingst;55.63;3375;21789;9,092699;53,725276;Niedersachsen
Cadenberge;30.98;4118;21781;9,056553;53,771739;Niedersachsen
Buchholz in der Nordheide;74.76;40164;21244;9,881469;53,329257;Niedersachsen
Neu Wulmstorf;56.34;21748;21629;9,79559;53,462891;Niedersachsen
Rosengarten;63.79;13627;21224;9,895289;53,379364;Niedersachsen
Seevetal;105.33;41931;21218;10,034869;53,377707;Niedersachsen
Stelle;38.76;11402;21435;10,110327;53,379578;Niedersachsen
Winsen (Luhe);109.77;35630;21423;10,209159;53,362425;Niedersachsen
Drage;30.35;4237;21423;10,260961;53,409809;Niedersachsen
Marschacht;26.11;3993;21436;10,367666;53,417357;Niedersachsen
Tespe;24.85;4849;21395;10,413989;53,39609;Niedersachsen
Asendorf;14.69;2082;21271;9,979301;53,289989;Niedersachsen
Brackel;14.02;1957;21438;10,040623;53,296894;Niedersachsen
Egestorf;48.83;2720;21272;10,063283;53,194675;Niedersachsen
Hanstedt;59.39;6053;21271;10,014498;53,258027;Niedersachsen
Marxen;13.42;1434;21439;10,00924;53,311539;Niedersachsen
Undeloh;48.3;1059;21274;9,975782;53,197429;Niedersachsen
Appel;15.49;2015;21279;9,744968;53,390684;Niedersachsen
Drestedt;5.73;790;21279;9,773823;53,327674;Niedersachsen
Halvesbostel;18.29;745;21646;9,601215;53,359267;Niedersachsen
Hollenstedt;21.96;3807;21279;9,715365;53,36705;Niedersachsen
Moisburg;11.28;2027;21647;9,702446;53,40494;Niedersachsen
Regesbostel;16.34;1075;21649;9,645208;53,378518;Niedersachsen
Wenzendorf;21.64;1473;21279;9,772342;53,350055;Niedersachsen
Bendestorf;3.87;2308;21227;9,965791;53,339859;Niedersachsen
Harmstorf;5.99;825;21228;9,987203;53,348173;Niedersachsen
Jesteburg;28.05;7923;21266;9,952787;53,306429;Niedersachsen
Eyendorf;13.74;1212;21376;10,153673;53,202349;Niedersachsen
Garlstorf;16.88;1185;21376;10,102673;53,236989;Niedersachsen
Garstedt;15.01;1430;21441;10,160485;53,285914;Niedersachsen
Gödenstorf;16.6;1029;21376;10,123465;53,228515;Niedersachsen
Salzhausen;34.91;4865;21376;10,169305;53,225825;Niedersachsen
Toppenstedt;29.35;2181;21442;10,10969;53,26341;Niedersachsen
Vierhöfen;13.95;925;21444;10,221535;53,261045;Niedersachsen
Wulfsen;8.52;1715;21445;10,144412;53,300186;Niedersachsen
Dohren;12.2;1248;21255;9,70182;53,305306;Niedersachsen
Handeloh;27;2540;21256;9,833344;53,244817;Niedersachsen
Heidenau;38.9;2304;21258;9,652803;53,314334;Niedersachsen
Kakenstorf;12.69;1488;21255;9,766204;53,30721;Niedersachsen
Königsmoor;10.01;608;21255;9,639963;53,232097;Niedersachsen
Otter;34.24;1771;21259;9,743028;53,240562;Niedersachsen
Tostedt;48.45;14206;21255;9,712322;53,28106;Niedersachsen
Welle;20.04;1214;21261;9,801616;53,240407;Niedersachsen
Wistedt;18.61;1753;21255;9,681416;53,270395;Niedersachsen
Gartow;28.41;1477;29471;11,46141;53,025263;Niedersachsen
Gorleben;21.35;599;29475;11,356745;53,048304;Niedersachsen
Höhbeck;19.49;631;29478;11,403614;53,069938;Niedersachsen
Prezelle;41.76;420;29491;11,401146;52,963312;Niedersachsen
Schnackenburg;23.7;517;29493;11,566732;53,037209;Niedersachsen
Damnatz;16.55;308;29472;11,175827;53,136244;Niedersachsen
Dannenberg (Elbe);76.61;8106;29451;11,090108;53,096496;Niedersachsen
Göhrde;40.75;585;29473;10,957537;53,129893;Niedersachsen
Gusborn;48.3;1233;29476;11,195998;53,106259;Niedersachsen
Hitzacker (Elbe);58.67;5020;29456;11,0472;53,151971;Niedersachsen
Jameln;36.15;1079;29479;11,075472;53,04021;Niedersachsen
Karwitz;31.73;751;29481;11,015675;53,087565;Niedersachsen
Langendorf;41.05;694;29484;11,253904;53,102229;Niedersachsen
Neu Darchau;22.73;1481;29490;10,884199;53,227889;Niedersachsen
Zernien;51.97;1616;29499;10,88551;53,067603;Niedersachsen
Bergen an der Dumme;25.64;1388;29468;10,956207;52,890829;Niedersachsen
Clenze;72.35;2251;29459;10,954387;52,936751;Niedersachsen
Küsten;41.54;1342;29482;11,06516;52,97687;Niedersachsen
Lemgow;64.48;1396;29485;11,321674;52,910082;Niedersachsen
Luckau (Wendland);22.37;548;29487;11,04936;52,927846;Niedersachsen
Lübbow;19.52;800;29488;11,181483;52,909636;Niedersachsen
Lüchow (Wendland);89.46;9407;29439;11,161706;52,967743;Niedersachsen
Schnega;54.36;1299;29465;10,892015;52,890334;Niedersachsen
Trebel;66.85;980;29494;11,318234;52,995463;Niedersachsen
Waddeweitz;49.28;888;29496;10,959612;52,995923;Niedersachsen
Woltersdorf;28.05;884;29497;11,22332;52,953664;Niedersachsen
Wustrow (Wendland);30.19;2772;29462;11,119401;52,924056;Niedersachsen
Adendorf;16.08;10903;21365;10,443754;53,287818;Niedersachsen
Bleckede;140.65;9613;21354;10,732726;53,291349;Niedersachsen
Lüneburg;70.5;75599;21335;10,408793;53,249157;Niedersachsen
Amt Neuhaus;237.96;5074;19273;10,928994;53,285751;Niedersachsen
Amelinghausen;27.35;3994;21385;10,212483;53,125153;Niedersachsen
Betzendorf;32.9;1103;21386;10,311162;53,137255;Niedersachsen
Oldendorf (Luhe);32.93;1048;21385;10,213907;53,156905;Niedersachsen
Rehlingen;66.25;745;21385;10,220029;53,106401;Niedersachsen
Soderstorf;36.05;1478;21388;10,146228;53,141222;Niedersachsen
Bardowick;23.33;7092;21357;10,388067;53,292328;Niedersachsen
Barum;9.83;2096;21357;10,408796;53,351294;Niedersachsen
Handorf;9.88;2121;21447;10,344996;53,344975;Niedersachsen
Mechtersen;14.44;684;21358;10,31886;53,280228;Niedersachsen
Radbruch;22.54;2245;21449;10,28376;53,310848;Niedersachsen
Vögelsen;8.28;2455;21360;10,35108;53,277899;Niedersachsen
Wittorf;12.03;1477;21357;10,380266;53,331506;Niedersachsen
Boitze;25.46;347;21368;10,748691;53,148663;Niedersachsen
Dahlem;17.09;645;21368;10,74816;53,203262;Niedersachsen
Dahlenburg;50.06;3341;21368;10,736987;53,188381;Niedersachsen
Nahrendorf;44.3;1228;21369;10,814655;53,174123;Niedersachsen
Tosterglope;19.6;613;21371;10,82076;53,208648;Niedersachsen
Kirchgellersen;20.03;2602;21394;10,293226;53,230268;Niedersachsen
Reppenstedt;14.87;7606;21391;10,354493;53,247865;Niedersachsen
Südergellersen;18.56;1816;21394;10,296816;53,20854;Niedersachsen
Westergellersen;20.37;2277;21394;10,24207;53,235672;Niedersachsen
Barnstedt;19.77;745;21406;10,372485;53,135816;Niedersachsen
Deutsch Evern;11.25;3759;21407;10,438848;53,202644;Niedersachsen
Embsen;22.82;2802;21409;10,344803;53,175557;Niedersachsen
Melbeck;16.35;3496;21406;10,403227;53,178586;Niedersachsen
Barendorf;9.31;2493;21397;10,521495;53,228804;Niedersachsen
Neetze;26.86;2710;21398;10,624248;53,26555;Niedersachsen
Reinstorf;30.48;1244;21400;10,572521;53,234322;Niedersachsen
Thomasburg;26.74;1359;21401;10,657813;53,232111;Niedersachsen
Vastorf;21.97;840;21397;10,545982;53,197671;Niedersachsen
Wendisch Evern;14.89;1801;21403;10,471354;53,215563;Niedersachsen
Artlenburg;11.83;1782;21380;10,486159;53,37287;Niedersachsen
Brietlingen;19.86;3554;21382;10,447601;53,332246;Niedersachsen
Echem;10.72;1054;21379;10,530693;53,338257;Niedersachsen
Hittbergen;14.62;930;21522;10,59062;53,344572;Niedersachsen
Hohnstorf (Elbe);10.18;2367;21522;10,554873;53,365767;Niedersachsen
Lüdersburg;19.05;646;21379;10,573799;53,32065;Niedersachsen
Rullstorf;22.86;1884;21379;10,530491;53,286155;Niedersachsen
Scharnebeck;26.9;3461;21379;10,507995;53,293367;Niedersachsen
Grasberg;55.77;7908;28879;8,983753;53,180531;Niedersachsen
Lilienthal;72.53;19922;28865;8,90772;53,141292;Niedersachsen
Osterholz-Scharmbeck;147.17;30438;27711;8,782826;53,230402;Niedersachsen
Ritterhude;32.95;14800;27721;8,756682;53,183333;Niedersachsen
Schwanewede;132.57;20408;28790;8,594113;53,225336;Niedersachsen
Worpswede;76.38;9687;27726;8,925015;53,222854;Niedersachsen
Axstedt;10.74;1208;27729;8,77323;53,35533;Niedersachsen
Hambergen;30.33;5613;27729;8,826407;53,310488;Niedersachsen
Holste;35.37;1399;27729;8,857641;53,373558;Niedersachsen
Lübberstedt;12.37;724;27729;8,808543;53,334956;Niedersachsen
Vollersode;46.49;2947;27729;8,914445;53,327712;Niedersachsen
Bremervörde;150.42;18666;27432;9,146245;53,485106;Niedersachsen
Gnarrenburg;123.23;9157;27442;9,002998;53,3823;Niedersachsen
Rotenburg (Wümme);99.06;22199;27356;9,403666;53,110417;Niedersachsen
Scheeßel;150.01;12962;27383;9,482765;53,168787;Niedersachsen
Visselhövede;159.2;9589;27374;9,580361;52,985561;Niedersachsen
Bothel;16.71;2375;27386;9,503907;53,07374;Niedersachsen
Brockel;25.2;1407;27386;9,520542;53,095016;Niedersachsen
